Authors,Title,Journal,Publication Year,DOI
General practitioners' perceptions of COPD treatment: thematic analysis of qualitative interviews,"Molin, KR; Egerod, I; Valentiner, LS; Lange, P; Langberg, H",INTERNATIONAL JOURNAL OF CHRONIC OBSTRUCTIVE PULMONARY DISEASE,2016,10.2147/COPD.S108611
Generative Adversarial Networks for Anonymized Healthcare of Lung Cancer Patients,"Gonzalez-Abril, L; Angulo, C; Ortega, JA; Lopez-Guerra, JL",ELECTRONICS,2021,10.3390/electronics10182220
"ON FEMALE TECHNOLOGY OR FEMTECH. ARTIFICIAL INTELLIGENCE, WOMEN'S HEALTH AND THE WILL OF THE INDIVIDUAL","Corso, S",BIOLAW JOURNAL-RIVISTA DI BIODIRITTO,2023,
"Uncertainty Assessment of Input Parameters for Economic Evaluation: Gauss's Error Propagation, an Alternative to Established Methods","Stollenwerk, B; Stock, S; Siebert, U; Lauterbach, KW; Holle, R",MEDICAL DECISION MAKING,2010,10.1177/0272989X09347015
AN EWMA CONTROL CHART FOR THE EXPONENTIAL DISTRIBUTION USING REPETITIVE SAMPLING PLAN,"Azam, M; Aslam, M; Jun, CH",OPERATIONS RESEARCH AND DECISIONS,2017,10.5277/ord170201
A roadmap for applying machine learning when working with privacy-sensitive data: predicting non-response to treatment for eating disorders,"Svendsen, VG; Wijnen, BM; De Vos, JA; Veenstra, R; Evers, SMAA; Lokkerbol, J",EXPERT REVIEW OF PHARMACOECONOMICS & OUTCOMES RESEARCH,2023,10.1080/14737167.2023.2230368
Machine learning for comprehensive forecasting of Alzheimer's Disease progression,"Fisher, CK; Smith, AM; Walsh, JR; Simone, AJ; Edgar, C; Jack, CR; Holtzman, D; Russell, D; Hill, D; Grosset, D; Wood, F; Vanderstichele, H; Morris, J; Blennown, K; Marek, K; Shaw, LM; Albert, M; Weiner, M; Fox, N; Aisen, P; Cole, PE; Petersen, R; Sherer, T; Kubick, W",SCIENTIFIC REPORTS,2019,10.1038/s41598-019-49656-2
The process of patient enablement in general practice nurse consultations: a grounded theory study,"Desborough, J; Banfield, M; Phillips, C; Mills, J",JOURNAL OF ADVANCED NURSING,2017,10.1111/jan.13199
ECG Synthesis via Diffusion-Based State Space Augmented Transformer,"Zama, MH; Schwenker, F",SENSORS,2023,10.3390/s23198328
Plasmode simulation for the evaluation of pharmacoepidemiologic methods in complex healthcare databases,"Franklin, JM; Schneeweiss, S; Polinski, JM; Rassen, JA",COMPUTATIONAL STATISTICS & DATA ANALYSIS,2014,10.1016/j.csda.2013.10.018
A Re-Analysis of the Cochrane Library Data: The Dangers of Unobserved Heterogeneity in Meta-Analyses,"Kontopantelis, E; Springate, DA; Reeves, D",PLOS ONE,2013,10.1371/journal.pone.0069930
Use of real-world evidence for healthcare decision-making in the Middle East: practical considerations and future directions,"Akhras, KS; Alsheikh-Ali, AA; Kabbani, S",EXPERT REVIEW OF PHARMACOECONOMICS & OUTCOMES RESEARCH,2019,10.1080/14737167.2019.1568243
Sharing methodology: A worked example of theoretical integration with qualitative data to clarify practical understanding of learning and generate new theoretical development,"Yardley, S; Brosnan, C; Richardson, J",MEDICAL TEACHER,2013,10.3109/0142159X.2012.733045
Big Data Solutions for Controversies in Breast Cancer Treatment,"Cobb, AN; Janjua, HM; Kuo, PC",CLINICAL BREAST CANCER,2021,10.1016/j.clbc.2020.08.003
Generation of annotated multimodal ground truth datasets for abdominal medical image registration,"Bauer, DF; Russ, T; Waldkirch, B; Tönnes, C; Segars, WP; Schad, LR; Zöllner, FG; Golla, AK",INTERNATIONAL JOURNAL OF COMPUTER ASSISTED RADIOLOGY AND SURGERY,2021,10.1007/s11548-021-02372-7
ChronoCorrelator: Enriching Events with Time Series,"van Dortmont, MAMM; van den Elzen, S; van Wijk, JJ",COMPUTER GRAPHICS FORUM,2019,10.1111/cgf.13697
Optimal Stratification and Allocation for the June Agricultural Survey,"Lisic, J; Sang, HJ; Zhu, ZY; Zimmer, S",JOURNAL OF OFFICIAL STATISTICS,2018,10.1515/JOS-2018-0007
Street masking: a network-based geographic mask for easily protecting geoprivacy,"Swanlund, D; Schuurman, N; Zandbergen, P; Brussoni, M",INTERNATIONAL JOURNAL OF HEALTH GEOGRAPHICS,2020,10.1186/s12942-020-00219-z
Examining access to GP services in rural Ireland using microsimulation analysis,"Morrissey, K; Clarke, G; Ballas, D; Hynes, S; O'Donoghue, C",AREA,2008,10.1111/j.1475-4762.2008.00844.x
Comparing and assessing the consequences of two different approaches to measuring school effectiveness,"Guarino, CM; Stacy, BW; Wooldridge, JM",EDUCATIONAL ASSESSMENT EVALUATION AND ACCOUNTABILITY,2019,10.1007/s11092-019-09308-5
"Addressing Posttreatment Selection Bias in Comparative Effectiveness Research, Using Real-World Data and Simulation","Belviso, N; Zhang, YC; Aronow, HD; Wyss, R; Barbour, M; Kogut, S; Lawal, OD; Zhan, SY; Don, PK; Wen, XR",AMERICAN JOURNAL OF EPIDEMIOLOGY,2022,10.1093/aje/kwab242
Machine learning models trained on synthetic datasets of multiple sample sizes for the use of predicting blood pressure from clinical data in a national dataset,"Arora, A; Arora, A",PLOS ONE,2023,10.1371/journal.pone.0283094
Approximating the Sum of Independent Non-Identical Binomial Random Variables,"Liu, BX; Quertermous, T",R JOURNAL,2018,
Producing routine malaria data: an exploration of the micro-practices and processes shaping routine malaria data quality in frontline health facilities in Kenya,"Okello, G; Molyneux, S; Zakayo, S; Gerrets, R; Jones, C",MALARIA JOURNAL,2019,10.1186/s12936-019-3061-y
Two parts are better than one: modeling marginal means of semicontinuous data,"Smith, VA; Neelon, B; Maciejewski, ML; Preisser, JS",HEALTH SERVICES AND OUTCOMES RESEARCH METHODOLOGY,2017,10.1007/s10742-017-0169-9
A Digital Twins Machine Learning Model for Forecasting Disease Progression in Stroke Patients,"Allen, A; Siefkas, A; Pellegrini, E; Burdick, H; Barnes, G; Calvert, J; Mao, QQ; Das, R",APPLIED SCIENCES-BASEL,2021,10.3390/app11125576
From public issues to personal troubles: individualising social inequalities in health within local public health partnerships,"Mead, R; Thurston, M; Bloyce, D",CRITICAL PUBLIC HEALTH,2022,10.1080/09581596.2020.1763916
VirA plus EmiC project: Evaluating real-world effectiveness and sustainability of integrated routine opportunistic hepatitis B and C testing in a large urban emergency department,"Nebbia, G; Ruf, M; Hunter, L; Balasegaram, S; Wong, T; Kulasegaram, R; Surey, J; Khan, Z; Williams, J; Karo, B; Snell, L; Flower, B; Evans, H; Douthwaite, S",JOURNAL OF VIRAL HEPATITIS,2022,10.1111/jvh.13676
Prediction Interval for Compound Conway-Maxwell-Poisson Regression Model with Application to Vehicle Insurance Claim Data,"Merupula, J; Vaidyanathan, VS; Chesneau, C",MATHEMATICAL AND COMPUTATIONAL APPLICATIONS,2023,10.3390/mca28020039
Increasing African genomic data generation and sharing to resolve rare and undiagnosed diseases in Africa: a call-to-action by the H3Africa rare diseases working group,"Lumaka, A; Carstens, N; Devriendt, K; Krause, A; Kulohoma, B; Kumuthini, J; Mubungu, G; Mukisa, J; Nel, M; Olanrewaju, TO; Lombard, Z; Landouré, G",ORPHANET JOURNAL OF RARE DISEASES,2022,10.1186/s13023-022-02391-w
Impact of discretization of the timeline for longitudinal causal inference methods,"Guerra, SF; Schnitzer, ME; Forget, A; Blais, L",STATISTICS IN MEDICINE,2020,10.1002/sim.8710
The influence of frame rate on two-dimensional speckle-tracking strain measurements: a study on silico-simulated models and images recorded in patients,"Rösner, A; Barbosa, D; Aarsæther, E; Kjonås, D; Schirmer, H; D'hooge, J",EUROPEAN HEART JOURNAL-CARDIOVASCULAR IMAGING,2015,10.1093/ehjci/jev058
Detection of COVID-19 features in lung ultrasound images using deep neural networks,"Zhao, LY; Fong, TC; Bell, MAL",COMMUNICATIONS MEDICINE,2024,10.1038/s43856-024-00463-5
Generalized filtered back-projection reconstruction in breast tomosynthesis,"Claus, BEH; Eberhard, JW; Schmitz, A; Carson, P; Goodsitt, M; Chan, HP","DIGITAL MAMOGRAPHY, PROCEEDINGS",2006,
Ranking of average treatment effects with generalized random forests for time-to-event outcomes,"Rytgaard, HCW; Ekstrom, CT; Kessing, LV; Gerds, TA",STATISTICS IN MEDICINE,2023,10.1002/sim.9686
Big science and big data in nephrology,"Saez-Rodriguez, J; Rinschen, MM; Floege, J; Kramann, R",KIDNEY INTERNATIONAL,2019,10.1016/j.kint.2018.11.048
Preserving Privacy in Mobile Health Systems Using Non-Interactive Zero-Knowledge Proof and Blockchain,"Tomaz, AEB; Do Nascimento, JC; Hafid, AS; De Souza, JN",IEEE ACCESS,2020,10.1109/ACCESS.2020.3036811
Robust Grouped Variable Selection Using Distributionally Robust Optimization,"Chen, RD; Paschalidis, IC",JOURNAL OF OPTIMIZATION THEORY AND APPLICATIONS,2022,10.1007/s10957-022-02065-4
Unlabeled Principal Component Analysis and Matrix Completion,"Yao, YZ; Peng, LZ; Tsakiris, MC",JOURNAL OF MACHINE LEARNING RESEARCH,2024,
Assessing Older Adults' Perceptions of Sensor Data and Designing Visual Displays for Ambient Environments,"Reeder, B; Chung, J; Le, T; Thompson, H; Demiris, G",METHODS OF INFORMATION IN MEDICINE,2014,10.3414/ME13-02-0009
Unleashing the Power of Very Small Data to Predict Acute Exacerbations of Chronic Obstructive Pulmonary Disease,"Jacobson, PK; Lind, L; Persson, HL",INTERNATIONAL JOURNAL OF CHRONIC OBSTRUCTIVE PULMONARY DISEASE,2023,10.2147/COPD.S412692
Basis and perspectives of artificial intelligence in radiation therapy,"Burgun, A",CANCER RADIOTHERAPIE,2019,10.1016/j.canrad.2019.08.005
Generating Realistic Synthetic Population Datasets,"Wu, H; Ning, Y; Chakraborty, P; Vreeken, J; Tatti, N; Ramakrishnan, N",ACM TRANSACTIONS ON KNOWLEDGE DISCOVERY FROM DATA,2018,10.1145/3182383
Novel phenotype-disease matching tool for rare genetic diseases,"Chen, J; Xu, H; Jegga, A; Zhang, KJ; White, PS; Zhang, G",GENETICS IN MEDICINE,2019,10.1038/s41436-018-0050-4
A comparison of confounder selection and adjustment methods for estimating causal effects using large healthcare databases,"Benasseur, I; Talbot, D; Durand, M; Holbrook, A; Matteau, A; Potter, BJ; Renoux, C; Schnitzer, ME; Tarride, JE; Guertin, JR",PHARMACOEPIDEMIOLOGY AND DRUG SAFETY,2022,10.1002/pds.5403
New ways of estimating excess mortality of chronic diseases from aggregated data: insights from the illness-death model,"Brinks, R; Tönnies, T; Hoyer, A",BMC PUBLIC HEALTH,2019,10.1186/s12889-019-7201-7
On the practical identifiability of a two-parameter model of pulmonary gas exchange,"Riedlinger, A; Kretschmer, J; Möller, K",BIOMEDICAL ENGINEERING ONLINE,2015,10.1186/s12938-015-0077-6
Internal Motion Estimation by Internal-external Motion Modeling for Lung Cancer Radiotherapy,"Chen, HB; Zhong, ZC; Yang, YW; Chen, JW; Zhou, LH; Zhen, X; Gu, XJ",SCIENTIFIC REPORTS,2018,10.1038/s41598-018-22023-3
Attenuation-emission alignment in cardiac PET/CT based on consistency conditions,"Alessio, AM; Kinahan, PE; Champley, KM; Caldwell, JH",MEDICAL PHYSICS,2010,10.1118/1.3315368
Evoked hemodynamic response estimation using ensemble empirical mode decomposition based adaptive algorithm applied to dual channel functional near infrared spectroscopy (fNIRS),"Berivanlou, NH; Setarehdan, SK; Noubari, HA",JOURNAL OF NEUROSCIENCE METHODS,2014,10.1016/j.jneumeth.2013.12.007
Pixel-by-pixel deconvolution of bolus-tracking data: optimization and implementation,"Sourbron, S; Dujardin, M; Makkat, S; Luypaert, R",PHYSICS IN MEDICINE AND BIOLOGY,2007,10.1088/0031-9155/52/2/009
Blockchain-Based Accountable Auditing With Multi-Ownership Transfer,"Shen, J; Chen, XF; Wei, JH; Guo, FC; Susilo, W",IEEE TRANSACTIONS ON CLOUD COMPUTING,2023,10.1109/TCC.2022.3224440
MultiBUGS: A Parallel Implementation of the BUGS Modeling Framework for Faster Bayesian Inference,"Goudie, RJB; Turner, RM; De Angelis, D; Thomas, A",JOURNAL OF STATISTICAL SOFTWARE,2020,10.18637/jss.v095.i07
Proof-of-concept study: Homomorphically encrypted data can support real-time learning in personalized cancer medicine,"Paddock, S; Abedtash, H; Zummo, J; Thomas, S",BMC MEDICAL INFORMATICS AND DECISION MAKING,2019,10.1186/s12911-019-0983-9
Bayesian estimation of finite time ruin probabilities,"Ausin, MC; Wiper, MP; Lillo, RE",APPLIED STOCHASTIC MODELS IN BUSINESS AND INDUSTRY,2009,10.1002/asmb.762
Real-time query processing optimization for cloud-based wireless body area networks,"Diallo, O; Rodrigues, JJPC; Sene, M; Niu, JW",INFORMATION SCIENCES,2014,10.1016/j.ins.2014.03.081
Patient asynchrony modelling during controlled mechanical ventilation therapy,"Arunachalam, GR; Chiew, YS; Tan, CP; Ralib, AM; Nor, MBM",COMPUTER METHODS AND PROGRAMS IN BIOMEDICINE,2020,10.1016/j.cmpb.2019.105103
"Data Provenance in Healthcare: Approaches, Challenges, and Future Directions","Ahmed, M; Dar, AR; Helfert, M; Khan, A; Kim, J",SENSORS,2023,10.3390/s23146495
Harmonizing Clinical Sequencing and Interpretation for the eMERGE III Network,"Zouk, H; Venner, E; Muzny, DM; Lennon, NJ; Rehm, HL; Gibbs, RA; Walker, K; Gordon, AS; Bowser, M; Harden, MV; Chiang, T; Hynes, ED; Hu, JH; Lebo, MS; Macbeth, A; Mahanta, L; Wu, TJ; Jarvik, GP; Funke, B; Leduc, M; Kudalkar, E; Babb, LJ; Murugan, M; Ames, DC; Graham, C; Aronson, S; Lin, CF; Scherer, S; Jiang, YY; Witkowski, L; Yang, YP; Murdock, DR; Eng, CM; Varugheese, M; Leslie, ND; Myers, MF; Prows, CA; Chung, W; Fasel, D; Marasa, M; Rasouly, HM; Weng, CH; Wynn, J; Kelly, MA; Williams, MS; Larson, EB; Leppig, KA; Ralston, JD; Kochan, DC; Kullo, IJ; Lindor, NM; Lammers, P; Singh, R; Smoot, DT; Hoell, C; Rasmussen-Torvik, LJ; Smith, ME; Green, RC; Smoller, JW; Peterson, JF; Van Driest, SL; Wells, QS; Wiesner, GL; Hu, JH; Kalla, SE; Raj, R; Foster, A; Balasubramanian, A; Muniz, J; Denson, S; Chandanavelli, G; Liu, W; Mahadeshwar, H; Vargas, SM; Zhang, L; Liu, XP; Wang, QY; Jayaseelan, JC; Kalra, D; Riza, B; De La Cruz, J; Wang, LW; Korchina, V; Kovar, C; Jiang, YY; Yang, YP; Yi, V; Muru, M; Baxter, S; Brodeur, W; Dodge, S; Dunlea, P; Friedrich, C; DeSmet, T; Dinsmore, MJ; Fleharty, M; Lyon, H; Meldrim, J; Mullen, TE; Onofrio, RC; Slowik, K; Vicente, G; Wilson, MW; Woolf, B; Gabriel, S; Basford, M; City, B; Crosslin, DR; Howell, KM; Linder, JE; Stanaway, IB; Woods, LA; Rehm, H; Overby-Taylor, C; Puckelwartz, MJ; Sleiman, PMA; Hakonarson, H; Rasmussen-Torvik, L; Hripcsak, G; Wei, WQ; Weng, CH; Holm, I; Chisholm, RL; Adunyah, SE; Denny, JC; Gharavi, A; Harley, J; Karlson, EW; Murphy, S; Roden, DM; Ritchie, MD; Sharp, RR; Weng, CH; Weiss, ST; Li, RL; Wiley, KL; Dayal, J; Jose, S; Manolio, T; Abrams, D; Albertson-Junkans, L; Almoguera, B; Appelbaum, P; Aufox, S; Bangash, H; Bastarache, L; Behr, M; Benoit, B; Bhoj, E; Bielinski, SJ; Bland, HT; Blout, C; Bottinger, EP; Brand, H; Brilliant, M; Caraballo, P; Carrell, DS; Carroll, A; Castillo, L; Castro, V; Christensen, KD; Chute, CG; Cobb, BL; Connolly, JJ; Crane, P; Crew, K; De Andrade, M; Dikilitas, O; Edwards, TL; Fedotov, A; Feng, QP; Freimuth, R; Fullerton, SM; Gainer, V; Hayes, MG; Glazer, AM; Glessner, JT; Goehringer, J; Gundelach, JH; Hain, HS; Harr, M; Hartzler, A; Hebbring, S; Henrikson, N; Hershey, A; Joo, YY; Josyula, NS; Justice, AE; Keating, BJ; Kenny, EE; Key, D; Kiryluk, K; Kitchner, T; Klee, E; Kottyan, L; Lee, MT; Liang, WH; Lingren, T; Linneman, JG; Liu, C; Lynch, J; Malin, B; Marsolo, K; McGowan, ML; McNally, E; Mentch, F; Mosley, J; Mukherjee, S; Namjou, B; Ni, YZ; Obeng, AO; Person, TN; Petukhova, L; Pisieczko, CJ; Pratap, S; Rahm, AK; Ramaprasan, A; Ramirez, A; Rasmussen, L; Raychaudhuri, S; Rives, C; Rosenthal, EA; Santani, A; Schaid, D; Scott, S; Scrol, A; Sengupta, S; Shang, N; Sharma, H; Smith, JC; Sohn, S; Starren, J; Stroud, M; Su, J; Tolwinski, K; Veenstra, D; Verbitsky, M; Wagner, M; Walunas, T; White, PS; Williams, JL; Zhang, G",AMERICAN JOURNAL OF HUMAN GENETICS,2019,10.1016/j.ajhg.2019.07.018
"Novel Generative Recurrent Neural Network Framework to Produce Accurate, Applicable, and Deidentified Synthetic Medical Data for Patients With Metastatic Cancer","Ganguli, R; Lad, R; Lin, A; Yu, XT",JCO CLINICAL CANCER INFORMATICS,2023,10.1200/CCI.22.00125
Healthcare professionals' perspectives on identifying and managing perinatal anxiety: a qualitative study,"Silverwood, V; Nash, A; Chew-Graham, CA; Walsh-House, J; Sumathipala, A; Bartlam, B; Kingstone, T",BRITISH JOURNAL OF GENERAL PRACTICE,2019,10.3399/bjgp19X706025
Monte Carlo decision curve analysis using aggregate data,"Hozo, I; Tsalatsanis, A; Djulbegovic, B",EUROPEAN JOURNAL OF CLINICAL INVESTIGATION,2017,10.1111/eci.12723
Big Data Analytics with OENN Based Clinical Decision Support System,"Murari, T; Prathiba, L; Singamaneni, KK; Venu, D; Nassa, VK; Kohar, R; Uparkar, SS",INTELLIGENT AUTOMATION AND SOFT COMPUTING,2022,10.32604/iasc.2022.020203
A Novel Small-Data Based Approach for Decoding Yes/No-Decisions of Locked-In Patients Using Generative Adversarial Networks,"Penava, P; Buettner, R",IEEE ACCESS,2023,10.1109/ACCESS.2023.3326720
Production and use of estimates for monitoring progress in the health sector: the case of Bangladesh,"Ahsan, KZ; Tahsina, T; Iqbal, A; Ali, NB; Chowdhury, SK; Huda, TM; El Arifeen, S",GLOBAL HEALTH ACTION,2017,10.1080/16549716.2017.1298890
Overcoming barriers to data sharing with medical image generation: a comprehensive evaluation,"Schütte, AD; Hetzel, J; Gatidis, S; Hepp, T; Dietz, B; Bauer, S; Schwab, P",NPJ DIGITAL MEDICINE,2021,10.1038/s41746-021-00507-3
Data Driven Surface Reflectance from Sparse and Irregular Samples,"Ruiters, R; Schwartz, C; Klein, R",COMPUTER GRAPHICS FORUM,2012,10.1111/j.1467-8659.2012.03010.x
On Left Ventricle Stroke Work Efficiency in Children with Moderate Aortic Valve Regurgitation or Moderate Aortic Valve Stenosis,"Asaadi, M; Mawad, W; Djebbari, A; Keshavardz-Motamed, Z; Dahdah, N; Kadem, L",PEDIATRIC CARDIOLOGY,2022,10.1007/s00246-021-02690-2
Theoretical and experimental determination of dosimetric characteristics for ADVANTAGE™ Pd-103 brachytherapy source,"Meigooni, AS; Dini, SA; Awan, SB; Dou, K; Koona, RA",APPLIED RADIATION AND ISOTOPES,2006,10.1016/j.apradiso.2006.03.015
Primary Health Care for Remote Village Communities in Honduras: A Model for Training and Support of Community Health Workers,"Rennert, W; Koop, E",FAMILY MEDICINE,2009,
"Healthcare for migrants, participatory health research and implementation science-better health policy and practice through inclusion. The RESTORE project","MacFarlane, A; O'Reilly-de Brún, M; de Brún, T; Dowrick, C; O'Donnell, C; Mair, F; Spiegel, W; van den Muijsenbergh, M; Baumgarten, EV; Lionis, C; Clissmann, C",EUROPEAN JOURNAL OF GENERAL PRACTICE,2014,10.3109/13814788.2013.868432
The intraurban geography of generalised trust in Sydney,"Hermes, K; Poulsen, M",ENVIRONMENT AND PLANNING A-ECONOMY AND SPACE,2013,10.1068/a44663
Application of Extreme Learning Machine in the Survival Analysis of Chronic Heart Failure Patients With High Percentage of Censored Survival Time,"Yang, H; Tian, J; Meng, BX; Wang, K; Zheng, C; Liu, YL; Yan, JJ; Han, QH; Zhang, YB",FRONTIERS IN CARDIOVASCULAR MEDICINE,2021,10.3389/fcvm.2021.726516
Preferences for Sun Protection With a Self-Monitoring App: Protocol of a Discrete Choice Experiment Study,"Nittas, V; Mütsch, M; Puhan, MA",JMIR RESEARCH PROTOCOLS,2020,10.2196/16087
Anomaly Detection in Activities of Daily Living with Linear Drift,"Belnnonte-Fernández, O; Caballer-Miedes, A; Chinellato, E; Montoliu, R; Sansano-Sansano, E; García-Vidal, R",COGNITIVE COMPUTATION,2020,10.1007/s12559-020-09740-6
A comparative study of feature extraction and blind source separation of independent component analysis (ICA) on childhood brain tumour 1H magnetic resonance spectra,"Hao, J; Zou, X; Wilson, MP; Davies, NP; Sun, Y; Peet, AC; Arvanitis, TN",NMR IN BIOMEDICINE,2009,10.1002/nbm.1393
ConvSCCS: convolutional self-controlled case series model for lagged adverse event detection,"Morel, M; Bacry, E; Gaïffas, S; Guilloux, A; Leroy, F",BIOSTATISTICS,2020,10.1093/biostatistics/kxz003
A New Criterion for Model Selection,"Pham, H",MATHEMATICS,2019,10.3390/math7121215
Generating Synthetic Trajectory Data Using GRU,"Liu, XY; Cui, BJ; Xing, LT",INTELLIGENT AUTOMATION AND SOFT COMPUTING,2022,10.32604/iasc.2022.020032
Flexible Bayesian Dirichlet mixtures of generalized linear mixed models for count data,"Adesina, OS; Agunbiade, DA; Oguntunde, PE",SCIENTIFIC AFRICAN,2021,10.1016/j.sciaf.2021.e00963
Stepped-Wedge Cluster Randomized Controlled Trial for Intervention Research: Design and Analysis,"Chen, DG; Pan, W; Kainz, K",JOURNAL OF THE SOCIETY FOR SOCIAL WORK AND RESEARCH,2021,10.1086/714135
"Provision of chlamydia testing, and training of primary health care staff about chlamydia testing, across four European countries","Uusküla, A; Ricketts, EJ; Rugman, C; Kalda, RR; Fredlund, H; Hedlund, J; Dunais, B; Touboul, PP; McNulty, C",BMC PUBLIC HEALTH,2014,10.1186/1471-2458-14-1147
Strengthening the Learning Health System in Cardiovascular Disease Prevention: Time to Leverage Big Data and Digital Solutions,"Wagle, AA; Isakadze, N; Nasir, K; Martin, SS",CURRENT ATHEROSCLEROSIS REPORTS,2021,10.1007/s11883-021-00916-5
Online model checking for monitoring surrogate-based respiratory motion tracking in radiation therapy,"Antoni, ST; Rinast, J; Ma, XT; Schupp, S; Schlaefer, A",INTERNATIONAL JOURNAL OF COMPUTER ASSISTED RADIOLOGY AND SURGERY,2016,10.1007/s11548-016-1423-2
A comparative study of clinical trial and real-world data in patients with diabetic kidney disease,"Kurki, S; Halla-aho, V; Haussmann, M; Laehdesmaeki, H; Leinonen, JV; Koskinen, M",SCIENTIFIC REPORTS,2024,10.1038/s41598-024-51938-3
Structure and Tracer Kinetics-Driven Dynamic PET Reconstruction,"Cui, JN; Qin, ZY; Chen, SH; Chen, YM; Liu, HF",IEEE TRANSACTIONS ON RADIATION AND PLASMA MEDICAL SCIENCES,2020,10.1109/TRPMS.2019.2947860
Simulating Study Data to Support Expected Value of Sample Information Calculations: A Tutorial,"Heath, A; Strong, M; Glynn, D; Kunst, N; Welton, NJ; Goldhaber-Fiebert, JD",MEDICAL DECISION MAKING,2022,10.1177/0272989X211026292
Clinical decision support for chemotherapy-induced neutropenia using a hybrid pharmacodynamic/machine learning model,"Hughes, JH; Tong, DMH; Burns, V; Daly, B; Razavi, P; Boelens, JJ; Goswami, S; Keizer, RJ",CPT-PHARMACOMETRICS & SYSTEMS PHARMACOLOGY,2023,10.1002/psp4.13019
Interdisciplinary research unlocking innovative solutions in healthcare,"Lepore, D; Dolui, K; Tomashchuk, O; Shim, H; Puri, C; Li, Y; Chen, NY; Spigarelli, F",TECHNOVATION,2023,10.1016/j.technovation.2022.102511
National influenza surveillance systems in five European countries: a qualitative comparative framework based on WHO guidance,"de Fougerolles, TR; Damm, O; Ansaldi, F; Chironna, M; Crépey, P; de Lusignan, S; Gray, I; Guillen, JM; Kassianos, G; Mosnier, A; de Lejarazu, RO; Pariani, E; Puig-Barbera, J; Schelling, J; Trippi, F; Vanhems, P; Wahle, K; Watkins, J; Rasuli, A; Vitoux, O; Bricout, H",BMC PUBLIC HEALTH,2022,10.1186/s12889-022-13433-0
FastClone is a probabilistic tool for deconvoluting tumor heterogeneity in bulk-sequencing samples,"Xiao, Y; Wang, XQ; Zhang, HJ; Ulintz, PJ; Li, HY; Guan, YF",NATURE COMMUNICATIONS,2020,10.1038/s41467-020-18169-2
A joint spatial factor analysis model to accommodate data from misaligned areal units with application to Louisiana social vulnerability,"Nethery, RC; Sandler, DP; Zhao, SS; Engel, LS; Kwok, RK",BIOSTATISTICS,2019,10.1093/biostatistics/kxy016
Clustering and Kernel Density Estimation for Assessment of Measurable Residual Disease by Flow Cytometry,"Jacqmin, H; Chatelain, B; Louveaux, Q; Jacqmin, P; Dogné, JM; Graux, C; Mullier, F",DIAGNOSTICS,2020,10.3390/diagnostics10050317
D3D augmented reality imaging system: proof of concept in mammography,"Douglas, DB; Petricoin, EF; Liotta, L; Wilson, E",MEDICAL DEVICES-EVIDENCE AND RESEARCH,2016,10.2147/MDER.S110756
A comparative study: classification vs. user-based collaborative filtering for clinical prediction,"Hao, F; Blair, RH",BMC MEDICAL RESEARCH METHODOLOGY,2016,10.1186/s12874-016-0261-9
Measuring and Promoting SARS-CoV-2 Vaccine Equity: Development of a COVID-19 Vaccine Equity Index,"Pressman, AR; Lockhart, SH; Shen, ZJ; Azar, KMJ",HEALTH EQUITY,2021,10.1089/heq.2021.0047
Biomedical engineering supports surgical planning and interventions,"Dickhaus, H; Metzner, R",BUNDESGESUNDHEITSBLATT-GESUNDHEITSFORSCHUNG-GESUNDHEITSSCHUTZ,2010,10.1007/s00103-010-1100-5
Differentially Private Recurrent Variational Autoencoder For Text Privacy Preservation,"Wang, YY; Meng, XJ; Liu, XM",MOBILE NETWORKS & APPLICATIONS,2023,10.1007/s11036-023-02096-9
Axes of a revolution: challenges and promises of big data in healthcare,"Shilo, S; Rossman, H; Segal, E",NATURE MEDICINE,2020,10.1038/s41591-019-0727-5
Artificial Intelligence-Based Framework for Analyzing Health Care Staff Security Practice: Mapping Review and Simulation Study,"Yeng, PK; Nweke, LO; Yang, B; Fauzi, MA; Snekkenes, EA",JMIR MEDICAL INFORMATICS,2021,10.2196/19250
Fractionated Bilirubin Among 252 892 Utah Newborns with and Without Biliary Atresia: A 15-year Historical Birth Cohort Study,"Kastenberg, ZJ; Deneau, MR; O'Brien, EA; Huynh, K; Book, LS; Srivastava, R; Jensen, MK; Jaramillo, CM; Guthery, SL",JOURNAL OF PEDIATRICS,2023,10.1016/j.jpeds.2022.12.041
Does Big Data Change the Privacy Landscape? A Review of the Issues,"Keller, SA; Shipp, S; Schroeder, A","ANNUAL REVIEW OF STATISTICS AND ITS APPLICATION, VOL 3",2016,10.1146/annurev-statistics-041715-033453
Lack of Identification in Semiparametric Instrumental Variable Models With Binary Outcomes,"Burgess, S; Granell, R; Palmer, TM; Sterne, JAC; Didelez, V",AMERICAN JOURNAL OF EPIDEMIOLOGY,2014,10.1093/aje/kwu107
Fast Quasi-Newton Algorithms for Penalized Reconstruction in Emission Tomography and Further Improvements via Preconditioning,"Tsai, YJ; Bousse, A; Ehrhardt, MJ; Stearns, CW; Ahn, S; Hutton, BF; Arridge, S; Thielemans, K",IEEE TRANSACTIONS ON MEDICAL IMAGING,2018,10.1109/TMI.2017.2786865
Bayesian profiling for cost with zeros to decompose total cost into probability of cost and mean nonzero cost,"Grunwald, GK; Arnett, JA; Liu, WH; Ho, PM",BIOMETRICAL JOURNAL,2020,10.1002/bimj.201900148
