Title,First Author,Journal,Publication Year,DOI
Evoked hemodynamic response estimation using ensemble empirical mode decomposition based adaptive algorithm applied to dual channel functional near infrared spectroscopy (fNIRS),Hemmati Berivanlou N,J Neurosci Methods,2014,10.1016/j.jneumeth.2013.12.007
Matching Microsimulation Risk Factor Correlations to Cross-sectional Data: The Shortest Distance Method,Suen SC,Med Decis Making,2018,10.1177/0272989X17741635
[Basis and perspectives of artificial intelligence in radiation therapy],Burgun A,Cancer Radiother,2019,10.1016/j.canrad.2019.08.005
Missing values in deduplication of electronic patient data,Sariyar M,J Am Med Inform Assoc,2012,10.1136/amiajnl-2011-000461
Simulated fall detection via accelerometers,Boyle J,Annu Int Conf IEEE Eng Med Biol Soc,2008,10.1109/IEMBS.2008.4649396
The process of nurses' role negotiation in general practice: A grounded theory study,Hewitt SL,J Adv Nurs,2024,10.1111/jan.15938
Efficient algorithms for fast integration on large data sets from multiple sources,Mi T,BMC Med Inform Decis Mak,2012,10.1186/1472-6947-12-59
Linkage of patient records from disparate sources,Li X,Stat Methods Med Res,2013,10.1177/0962280211403600
DragNet: Learning-based deformable registration for realistic cardiac MR sequence generation from a single frame,Zakeri A,Med Image Anal,2023,10.1016/j.media.2022.102678
Automated visibility map of the internal colon surface from colonoscopy video,Armin MA,Int J Comput Assist Radiol Surg,2016,10.1007/s11548-016-1462-8
Loss of population data sources when health systems are not responsible for geographically defined populations: implications of the Health and Social Care Act of 2012 in England,Pollock AM,Evid Based Med,2014,10.1136/eb-2013-101287
Simplifying volumes-of-interest (VOIs) definition in quantitative SPECT: Beyond manual definition of 3D whole-organ VOIs,Vicente EM,Med Phys,2017,10.1002/mp.12164
A Deep Learning Framework for Predicting Patient Decannulation on Extracorporeal Membrane Oxygenation Devices: Development and Model Analysis Study,Fuller J,JMIR Biomed Eng,2024,10.2196/48497
Extraction of unadjusted estimates of prognostic association for meta-analysis: simulation methods as good alternatives to trend and direct method estimation,Pérez T,J Clin Epidemiol,2018,10.1016/j.jclinepi.2017.12.017
Context-Aware Time Series Imputation for Multi-Analyte Clinical Data,Yin K,J Healthc Inform Res,2020,10.1007/s41666-020-00075-3
Limits of 2D-TCA in detecting BOLD responses to epileptic activity,Khatamian YB,Epilepsy Res,2011,10.1016/j.eplepsyres.2011.01.018
Adjusting for sampling variability in sparse data: geostatistical approaches to disease mapping,Hampton KH,Int J Health Geogr,2011,10.1186/1476-072X-10-54
Defining regions for locality health care planning: a multidimensional approach,Shortt NK,Soc Sci Med,2005,10.1016/j.socscimed.2004.11.016
The influence of frame rate on two-dimensional speckle-tracking strain measurements: a study on silico-simulated models and images recorded in patients,Rösner A,Eur Heart J Cardiovasc Imaging,2015,10.1093/ehjci/jev058
Creating sparser prediction models of treatment outcome in depression: a proof-of-concept study using simultaneous feature selection and hyperparameter tuning,Rost N,BMC Med Inform Decis Mak,2022,10.1186/s12911-022-01926-2
IMPLEMENTING TOOLS TO PROMOTE ADHERENCE TO ANTIRETROVIRAL THERAPY AT FACILITIES IN KENYA,Gitau L,East Afr Med J,2014,
ROC curves for clinical prediction models part 1. ROC plots showed no added value above the AUC when evaluating the performance of clinical prediction models,Verbakel JY,J Clin Epidemiol,2020,10.1016/j.jclinepi.2020.01.028
Creation and application of a simulated database of dynamic [18f]MPPF PET acquisitions incorporating inter-individual anatomical and biological variability,Reilhac A,IEEE Trans Med Imaging,2006,10.1109/TMI.2006.879922
Using Machine Learning and Natural Language Processing Algorithms to Automate the Evaluation of Clinical Decision Support in Electronic Medical Record Systems,Szlosek DA,EGEMS (Wash DC),2016,10.13063/2327-9214.1222
Automatic 3-D breath-hold related motion correction of dynamic multislice MRI,Elen A,IEEE Trans Med Imaging,2010,10.1109/TMI.2009.2039145
Planning and intraoperative visualization of liver catheterizations: new CTA protocol and 2D-3D registration method,Groher M,Acad Radiol,2007,10.1016/j.acra.2007.07.009
When can the Bland & Altman limits of agreement method be used and when it should not be used,Taffé P,J Clin Epidemiol,2021,10.1016/j.jclinepi.2021.04.004
Computing threshold antibody levels of protection in vaccine clinical trials: An assessment of methodological bias,Voysey M,PLoS One,2018,10.1371/journal.pone.0202517
How to use frailtypack for validating failure-time surrogate endpoints using individual patient data from meta-analyses of randomized controlled trials,Sofeu CL,PLoS One,2020,10.1371/journal.pone.0228098
A comparison of methods for fixed effects meta-analysis of individual patient data with time to event outcomes,Tudur Smith C,Clin Trials,2007,10.1177/1740774507085276
A method for cohort selection of cardiovascular disease records from an electronic health record system,Abrahão MTF,Int J Med Inform,2017,10.1016/j.ijmedinf.2017.03.015
Evaluating performance of risk identification methods through a large-scale simulation of observational data,Ryan PB,Drug Saf,2013,10.1007/s40264-013-0110-2
A re-analysis of the Cochrane Library data: the dangers of unobserved heterogeneity in meta-analyses,Kontopantelis E,PLoS One,2013,10.1371/journal.pone.0069930
Auto-calibrating spherical deconvolution based on ODF sparsity,Schultz T,Med Image Comput Comput Assist Interv,2013,10.1007/978-3-642-40811-3_83
Beyond the challenge to research integrity: imposter participation in incentivised qualitative research and its impact on community engagement,Drysdale K,Health Sociol Rev,2023,10.1080/14461242.2023.2261433
A signal detection method to detect adverse drug reactions using a parametric time-to-event model in simulated cohort data,Cornelius VR,Drug Saf,2012,10.2165/11599740-000000000-00000
A novel generative adversarial networks modelling for the class imbalance problem in high dimensional omics data,Cusworth S,BMC Med Inform Decis Mak,2024,10.1186/s12911-024-02487-2
Matching-adjusted indirect comparisons of annualized bleeding rate and utilization of BAY 94-9027 versus three recombinant factor VIII agents for prophylaxis in patients with severe hemophilia A,Batt K,J Blood Med,2019,10.2147/JBM.S206806
Bayesian profiling for cost with zeros to decompose total cost into probability of cost and mean nonzero cost,Grunwald GK,Biom J,2020,10.1002/bimj.201900148
A joint spatial factor analysis model to accommodate data from misaligned areal units with application to Louisiana social vulnerability,Nethery RC,Biostatistics,2019,10.1093/biostatistics/kxy016
Testing Three Problem List Terminologies in a simulated data entry environment,Fung KW,AMIA Annu Symp Proc,2011,
Multiscale measurement error models for aggregated small area health data,Aregay M,Stat Methods Med Res,2016,10.1177/0962280216661094
"[Participative action research; self-care education for the mature adult, a dialogic and empowered process]",Sanchez Gomez S,Aten Primaria,2015,10.1016/j.aprim.2014.12.008
Fast Quasi-Newton Algorithms for Penalized Reconstruction in Emission Tomography and Further Improvements via Preconditioning,Tsai YJ,IEEE Trans Med Imaging,2018,10.1109/TMI.2017.2786865
Evaluation of a Cyber Security System for Hospital Network,Faysel MA,Stud Health Technol Inform,2015,
Twenty new digital brain phantoms for creation of validation image data bases,Aubert-Broche B,IEEE Trans Med Imaging,2006,10.1109/TMI.2006.883453
A clustering approach to identify rare variants associated with hypertension,Sun R,BMC Proc,2016,10.1186/s12919-016-0022-0
Meta-analysis of non-linear exposure-outcome relationships using individual participant data: A comparison of two methods,White IR,Stat Med,2019,10.1002/sim.7974
biDCG: a new method for discovering global features of DNA microarray data via an iterative re-clustering procedure,Chen CP,PLoS One,2014,10.1371/journal.pone.0102445
Relaxivity-iron calibration in hepatic iron overload: Predictions of a Monte Carlo model,Ghugre NR,Magn Reson Med,2015,10.1002/mrm.25459
Myocardial motion estimation combining tissue doppler and B-mode echocardiographic images,Porras AR,Med Image Comput Comput Assist Interv,2013,10.1007/978-3-642-40763-5_60
No rationale for 1 variable per 10 events criterion for binary logistic regression analysis,van Smeden M,BMC Med Res Methodol,2016,10.1186/s12874-016-0267-3
Enabling high-throughput genotype-phenotype associations in the Epidemiologic Architecture for Genes Linked to Environment (EAGLE) project as part of the Population Architecture using Genomics and Epidemiology (PAGE) study,Bush WS,Pac Symp Biocomput,2013,
Anomaly Detection and Artifact Recovery in PET Attenuation-Correction Images Using the Likelihood Function,Laymon CM,IEEE J Sel Top Signal Process,2013,10.1109/JSTSP.2012.2237380
MultiBUGS: A Parallel Implementation of the BUGS Modelling Framework for Faster Bayesian Inference,Goudie RJB,J Stat Softw,2020,10.18637/jss.v095.i07
Topology-corrected segmentation and local intensity estimates for improved partial volume classification of brain cortex in MRI,Rueda A,J Neurosci Methods,2010,10.1016/j.jneumeth.2010.02.020
Remaking the future: contemplating a life with chronic widespread pain,Richardson JC,Chronic Illn,2006,10.1177/17423953060020030201
Pixel-by-pixel deconvolution of bolus-tracking data: optimization and implementation,Sourbron S,Phys Med Biol,2007,10.1088/0031-9155/52/2/009
Opioid prescribing patterns for non-malignant chronic pain for rural versus non-rural US adults: a population-based study using 2010 NAMCS data,Prunuske JP,BMC Health Serv Res,2014,10.1186/s12913-014-0563-8
Self-adapting cyclic registration for motion-compensated cone-beam CT in image-guided radiation therapy,Brehm M,Med Phys,2012,10.1118/1.4766435
Family history in primary care: understanding GPs' resistance to clinical genetics--qualitative study,Mathers J,Br J Gen Pract,2010,10.3399/bjgp10X501868
A multiple imputation approach to disclosure limitation for high-age individuals in longitudinal studies,An D,Stat Med,2010,10.1002/sim.3974
"Uncertainty assessment of input parameters for economic evaluation: Gauss's error propagation, an alternative to established methods",Stollenwerk B,Med Decis Making,2010,10.1177/0272989X09347015
Registration of 4D cardiac CT sequences under trajectory constraints with multichannel diffeomorphic demons,Peyrat JM,IEEE Trans Med Imaging,2010,10.1109/TMI.2009.2038908
A comparison of Cox and logistic regression for use in genome-wide association studies of cohort and case-cohort design,Staley JR,Eur J Hum Genet,2017,10.1038/ejhg.2017.78
Agreement between coding schemas used to identify bleeding-related hospitalizations in claims analyses of nonvalvular atrial fibrillation patients,Coleman CI,Clin Cardiol,2018,10.1002/clc.22861
Calculation of limits for significant unidirectional changes in two or more serial results of a biomarker based on a computer simulation model,Lund F,Ann Clin Biochem,2015,10.1177/0004563214534636
Removing ocular movement artefacts by a joint smoothened subspace estimator,Phlypo R,Comput Intell Neurosci,2007,10.1155/2007/75079
Model-based estimation of intra-cortical connectivity using electrophysiological data,Aram P,Neuroimage,2015,10.1016/j.neuroimage.2015.06.048
Partially latent class models for case-control studies of childhood pneumonia aetiology,Wu Z,J R Stat Soc Ser C Appl Stat,2016,10.1111/rssc.12101
Predicting tissue outcome from acute stroke magnetic resonance imaging: improving model performance by optimal sampling of training data,Jonsdottir KY,Stroke,2009,10.1161/STROKEAHA.109.552216
Building motion models of lung tumours from cone-beam CT for radiotherapy applications,Martin J,Phys Med Biol,2013,10.1088/0031-9155/58/6/1809
The effect of rare variants on inflation of the test statistics in case-control analyses,Pirie A,BMC Bioinformatics,2015,10.1186/s12859-015-0496-1
4D Blood Flow Reconstruction Over the Entire Ventricle From Wall Motion and Blood Velocity Derived From Ultrasound Data,Gomez A,IEEE Trans Med Imaging,2015,10.1109/TMI.2015.2428932
"Confidence intervals and power calculations for within-person biological variation: effect of analytical imprecision, number of replicates, number of samples, and number of individuals",Røraas T,Clin Chem,2012,10.1373/clinchem.2012.187781
Interpretation of increments in serial tumour biomarker concentrations depends on the distance of the baseline concentration from the cut-off,Petersen PH,Clin Chem Lab Med,2011,10.1515/CCLM.2011.045
Value-based noise reduction for low-dose dual-energy computed tomography,Balda M,Med Image Comput Comput Assist Interv,2010,10.1007/978-3-642-15711-0_68
Factors affecting visual inference in single-case designs,Ximenes VM,Span J Psychol,2009,10.1017/s1138741600002195
A new method for creating electrophysiological maps for DBS surgery and their application to surgical guidance,Pallavaram S,Med Image Comput Comput Assist Interv,2008,10.1007/978-3-540-85988-8_80
Federated queries for comparative effectiveness research: performance analysis,Price RC,Stud Health Technol Inform,2012,
Eigenvector analysis for separation of a spectrally concentrated source from a mixture,Phlypo R,Annu Int Conf IEEE Eng Med Biol Soc,2008,10.1109/IEMBS.2008.4649548
Detecting individual sites subject to episodic diversifying selection,Murrell B,PLoS Genet,2012,10.1371/journal.pgen.1002764
Spatial Linear Mixed Effects Modelling for OCT Images: SLME Model,Zhu W,J Imaging,2020,10.3390/jimaging6060044
Introducing the fit-criteria assessment plot - A visualisation tool to assist class enumeration in group-based trajectory modelling,Klijn SL,Stat Methods Med Res,2017,10.1177/0962280215598665
The Shiny Balancer - software and imbalance criteria for optimally balanced treatment allocation in small RCTs and cRCTs,Grischott T,BMC Med Res Methodol,2018,10.1186/s12874-018-0551-5
Calculating the Expected Value of Sample Information in Practice: Considerations from 3 Case Studies,Heath A,Med Decis Making,2020,10.1177/0272989X20912402
Crowdsourced direct-to-consumer genomic analysis of a family quartet,Corpas M,BMC Genomics,2015,10.1186/s12864-015-1973-7
GroundsWell: Community-engaged and data-informed systems transformation of Urban Green and Blue Space for population health - a new initiative,Hunter RF,Wellcome Open Res,2022,10.12688/wellcomeopenres.18175.1
"The National COVID Cohort Collaborative (N3C): Rationale, design, infrastructure, and deployment",Haendel MA,J Am Med Inform Assoc,2021,10.1093/jamia/ocaa196
A likelihood ratio approach for utilizing case-control data in the clinical classification of rare sequence variants: application to BRCA1 and BRCA2,Zanti M,Hum Mutat,2023,10.1155/2023/9961341
